"","Category","Title","Price","Rating","BrandDescription","ReviewStars"
"1","Crafting Supplies",NA,NA,NA,"Results NA",NA
"2","Crafting Supplies","Command Large Picture Hanging Strips, White, Holds up to 16 lbs, 14-Pairs, Easy to Open Packaging","$10.83","4.6 out of 5 stars","Sun, Jan 28   FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 24 ",NA
"3","Crafting Supplies","Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets - 9 x 11.5-Inch, 200-Pack, 3mil","$20.79","4.8 out of 5 stars","Mon, Jan 29  $19.75 with Subscribe & Save discount",NA
"4","Crafting Supplies","Elmer's Disappearing Purple School Glue Sticks, Washable, 22 Grams, 3 Count","$3.19","4.8 out of 5 stars","Sun, Jan 28  Save more with Subscribe & Save",NA
"5","Crafting Supplies",NA,NA,NA,"More results NA",NA
"6","Crafting Supplies","Scotch 8"" Precision Scissors, Great for Everyday Use (1448)","$3.97","4.8 out of 5 stars","Sun, Jan 28   FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"7","Crafting Supplies","Scotch Thermal Laminating Pouches, For Use With Thermal Laminators, 8.9 x 11.4 Inches, Letter Size Sheets, 100-Pack","$15.68","4.9 out of 5 stars","Sun, Jan 28  Save more with Subscribe & Save",NA
"8","Crafting Supplies","Crayola Air Dry Clay (5lb Bucket), Natural White Modeling Clay for Kids, Sculpting Material, Craft Supplies for Classrooms [Amazon Exclusive]","$10.62","4.6 out of 5 stars","Sun, Jan 28  Save more with Subscribe & Save",NA
"9","Crafting Supplies","Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)","$10.99","4.7 out of 5 stars","Sun, Jan 28   FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"10","Crafting Supplies","Elmer's Disappearing Purple School Glue Sticks, Washable, 7 Grams, 30 Count","$8.27","4.9 out of 5 stars","Mon, Jan 29  Save more with Subscribe & Save",NA
"11","Crafting Supplies","Bostitch Office Premium 3 Hole Punch, 12 Sheet Capacity, Metal, Rubber Base, Easy-Clean Tray, Silver","$9.89","4.7 out of 5 stars","Mon, Jan 29   FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"12","Crafting Supplies","Adtech W229-34ZIP100 Mini Hot Glue Sticks, 1pack ,100 pieces, Clear","$6.22","4.8 out of 5 stars","Sun, Jan 28  $5.91 with Subscribe & Save discount",NA
"13","Crafting Supplies","Neenah Index Cardstock, 8.5"" x 11"", 90 lb/163 gsm, White, Lightweight, 94 Brightness, 300 Sheets (91437)","$12.99","4.7 out of 5 stars","Sun, Jan 28  Save more with Subscribe & Save",NA
