"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"imseeg","3 July 2023","What do the haters complain about? And why you should still watch this final edition.1 The first Indiana Jones editions were the best.This new edition has got the same spirit, the same amount of action, the same amount of adventure and I loved it (almost) as much as the early editions.2 The leading actress Phoebe is a disaster.My personal opinion is that she aint bad at all. She shines. And dont forget she doesnt have to carry this movie, Harrison Ford does.3 Harrison Ford has gotten old and grumpy.Correct. He has been always grumpy! And yes, he has gotten old and director James Mangold shows Indiana's old age in all of it's demise AND glory. Respect!4 There are no jokes. It's too serious with too many killings.Rubbish. There are still enough good jokes, but not the ""in your face"" jokes we were used to. But I love the more subtle, indirect jokes.It is more serious though and I LIKE IT. Even an adventure needs some serious notes, to be more credible. And by the way, I am not a kid anymore and so arent many other Indiana fans!5 Steven Spielberg didnt direct it.But James Mangold did and whoever googles Mangold's Imdb carreer, soon will find out this director has made some fabulous movies. I applaud his direction!I loved this edition. It had everything I needed in an adventure packed movie. It thrilled me. It made me laugh. And the final scenes really TOUCHED me and gave me goosebumps. I had a wonderful time watching this last edition!Just another solidly made Indiana Jones flick. Enjoy the show!Thank you for reading my 2000 th review on Imdb.","
            7/10
            "
"thejefflewis-92228","1 July 2023","""Raiders of the Lost Ark"" is on my top 10 list of all-time favorite movie. I did not feel that ""Dial of Destiny"" gave a proper send off to the francise. It seemed like the first half of the movie is nothing but over the top chase scenes about trying to get possession of the Dial. That first half does not invest time to plant motivation so the viewer will even care about the Dial and who gets possession of it. Also, the Helena character is pretty unlikeable. Her passion is in the wrong place. Indiana is at odds with Helena for most of the movie. They do not make a good team. And then Indiana is a deflated version of Indiana that is kind of depressing. And to top it all off, there is no sense of fun and comedy in the movie. I hope writers have not forgotten how to write a good adventure story. ""Dial of Destiny"" misses the mark on many levels. And it kind of bothered me how much unnecessary killing there was in the movie. That is not family friendly. I wanted to really like ""Dial of Destiny"", but as the movie was progressing, I had to admit the movie was just not working.","
            6/10
            "
"reelreviewsandrecommendations","17 July 2023","It is 1944 and adventuring archaeologist Indiana Jones is in a familiar predicament: the Nazis have caught him attempting to scupper their nefarious plans. After breaking free of their vile clutches, Jones and his accomplice Basil Shaw discover the fascists have found the Antikythera mechanism, a device created by Archimedes that supposedly reveals time fissures. Jones escapes, foils the enemy's schemes and steals the mechanism- seemingly putting the matter to bed. Some 25 years later, however, Jones is thrust back into action when his goddaughter Helena comes looking for the Antikythera; with an underground group of die-hard Nazis on her tail. Will Jones and Helena manage to save the day before time runs out?Directed by James Mangold and written alongside Jez Butterworth, John-Henry Butterworth and David Koepp, 'Indiana Jones and the Dial of Destiny' is an uneven sendoff to one of the greatest characters in film history, that all too often feels like it came from the 'paint by numbers' school of filmmaking. Mangold tries throughout to recapture the magic of the original trilogy of Jones pictures, and occasionally succeeds; such as in the thrilling opening set in 1944, or a touching reunion between Indy and his estranged love at the end of the film. Furthermore, it is consistently enjoyable watching Harrison Ford on screen as Indy once more, even if he is a more downcast fellow this time; and the odd reference to adventures past is sure to make fans of the series grin from ear to ear.However, the narrative is weak, the characterization of secondary characters is scant at best and- weirdly- at times it seems as if Indy is the sidekick in his own film. Helena Shaw, from the moment she comes on screen, is treated as the real star of the show, despite her being a decidedly unlikable lady. A spoiled and arrogant heiress, she is constantly rude and dismissive of Indy, when she isn't being reckless and impulsive, putting herself and others in danger for her own selfish motives. As written, the character has little to no respect for history or culture, seeing everything as a means to an end. She contrasts starkly with Indy, whose humble respect for his profession and legacy endears him to audiences. Helena, on the other hand, is a self-centered cad, who tries to upstage our hero at every turn. Why Mangold thought she should be made the (arguable) central character when this is Indy's last outing is beyond comprehension, not to mention being irritating and disrespectful to a cinematic legend.Alas, Mangold's poor characterization isn't confined to her alone. 'Indiana Jones and the Dial of Destiny' not only provides us with a discount Short Round in the form of Helena's associate Teddy- a kid more irritating than mischievous- but a discount Major Toht too, in the form of Professor Voller- a Nazi scientist so generic even the incomparable Mads Mikkelsen can't make him interesting. Neither of these new iterations of old characters are very compelling, nor well rounded; and their inclusion in the film feels like a desperate attempt to out-do and re-create times gone by. Furthermore, the few familiar faces that occasionally pop up feel shoehorned into the plot, and Voller's troupe of henchmen are bland and forgettable.Unfortunately, 'Indiana Jones and the Dial of Destiny' contains underwhelming visuals as well, which look cheap compared to the likes of 'Raiders' or 'The Last Crusade.' Much like with the previous 'The Kingdom of the Crystal Skull', there is a phony digital sheen to everything on screen that takes one out of the movie completely, and the questionable CGI is jarring throughout. Comparing the first three movies with the last two, it seems digital processes don't fit an Indiana Jones vehicle, they are the kind of epics that demand to be shot on film with practical effects. Moreover, the exaggerated effects and artificiality of proceedings hamper whatever realism Mangold was trying to foster with his downbeat narrative and allusions to real world history.The main problem with 'Indiana Jones and the Dial of Destiny,' though, is its lack of originality or charm, which the previous films- well, the first three, anyway- had in spades. Mangold seems content to rely on recycled tropes and clichés to forward the story, making this adventure feel like familiar ground instead of fresh fun. The film uses the similar formula of Nazis, ancient artifacts, exotic locations and supernatural elements that we have seen before, but without the wit, creativity and excitement that made them memorable; meaning this iteration of Indy comes as more of a whimper than a bang.Are there some elements deserving of praise in the film? Of course. Harrison Ford is consistently excellent and engaging as Indy, carrying the adventure squarely on his shoulders with his usual ease and charm. Furthermore, John Williams' epic score is stirring and- though her character is unlikable- Phoebe Waller-Bridge brings a nice blend of snark and enthusiasm to proceedings, sharing a good chemistry with Ford. Had they a better script to work with- and if Mangold's characterization wasn't so one-dimensional- they might have made a memorable duo. Additionally, the action is generally well realized- though tends towards the overblown- and there are moments and batches of dialogue that'll have fans of the series entertained, even if they are a bit few and far between.However, 'Indiana Jones and the Dial of Destiny' just isn't great. As an adventure movie, it is too downbeat, and as a final entry in a fantastic series, it is too weak narratively to make much impact. Though it makes for a better overall package than 'The Kingdom of the Crystal Skull,' it's not by much. The character of Helena Shaw is hard to warm to, the villains are forgettable and the visuals are underwhelming. In short, Indy, Ford and the fans deserved a better movie than 'The Dial of Destiny,' a muddled misadventure proving that time waits for no man; not even Indiana Jones.","
            6/10
            "
"DarkVulcan29","30 June 2023","I mean Kingdom of the Crystal Skull (2008) may have had its flaws, but still had a sense of fun to it, like an Indiana Jones movie should. There was very little of that here.1969 Indiana Jones (Harrison Ford) is quite bitter, is about to retire has a college professor and his marriage to Marion is ending, but his feeling for adventure comes back. When his goddaughter named Helena (Phoebe Waller-Bridge) comes to him about a special device that could change the course of history.Some actions are pretty good, Harrison Ford is great has Indy, showing his old age catching up with him. And the de aged scenes are pretty descent. Now Pheobe Waller Bridge is so annoying to watch, her over the top know at all attitude made me want to walk out of theater, and she and Ford just never clicked. Mads Michaelson is pretty good has the bad guy. But the sense of fun just wasn't there this time, as the film started to get to the point, I was losing interest. Some moments I liked, but all in all I was just wanting this to end.","
            6/10
            "
"slightlymad22","28 June 2023","I just got out of Indiana Jones & The Dial of DestinyThey have only gone and done it!! They have made a dull, boring Indiana Jones movie!! This is going to pain me to write.It started out great (the first 20 minutes or so) then it's just very meh as it really drags to its ending!! If you don't like what Mangold did to Logan in Logan, you won't like what he has done to Indiana Jones here. He is an old, grumpy; miserable, very depressed alcoholic, who bores his students to sleep and he has retirement forced on him.The chase sequences are clearly green screen and CGI and it really stands out!! It never feels real.Ford is game, and almost everything he does in this movie is believable. John Williams score is the best thing about this movie.Phoebe Waller Bridge is just one annoying woman, I never bought their relationship for one second, nothing feels real. None of her jokes landed and in the full movie, there was only one laugh in my screening and that was during a Raiders of The Lost Ark call back.Mads Mickelson is as reliable as ever. He always delivers, so no complaints here.It pains me to say, I'll probably never watch it again. Now it's time to drink away my disappointment.","
            6/10
            "
"CinemaClown","3 July 2023","The fifth & final instalment in the Indiana Jones franchise and also the first to not be helmed by Steven Spielberg, Indiana Jones & the Dial of Destiny brings the famous archaeologist back for one final outing yet finishes as a bland & bloated blockbuster that fails to replicate the magic & bravado of its predecessors despite having all the necessary ingredients at its disposal.Co-written & directed by James Mangold (Logan & Ford v Ferrari), the film opens with a thrilling & action-packed prologue that brings the titular artefact into play but then it follows it up with a series of events that just unfold with a straightforward monotonousness. Despite being the final chapter, it doesn't have the urgency, even the exposition is lame, and the action set pieces lack flavour.What makes the ride dull is the same rinse-n-repeat approach that surface throughout the film in addition to it not having any genuine sense of danger or adventure or escalation. Humour is often poorly timed and the picture also fails to provide John Williams any moment to allow his music to soar. Harrison Ford manages to hold his own in spite of the frailty in his performance but the rest are forgettable.Overall, Indiana Jones & the Dial of Destiny begins on a promising note but gets bogged down by issues of its own makings. Most of the problems plaguing this latest sequel can be found in The Kingdom of the Crystal Skull too but even that disparaged entry employed better use of shots, cuts & outrageous set pieces. This one fares somewhat better as a whole but it is still a lifeless, overlong & mediocre offering.","
            6/10
            "
"themarvelheroeslildoop","3 July 2023","The plot was surprisingly good, as I was expecting some MCU multiverse hijinks but was instead given a more grounded approach to time travel. It felt like a breath of fresh air in that sense.Madds was a good villain. He had a cool backstory and plan in this film and was well-acted.The action was good. Not much with Indiana's whip, which is a bit disappointing. Then again, Ford is in his 80's so I understand. I enjoyed the action scenes despite their limitations.However... Phoebe Waller-Bridge made me wanna walk out of the theatre (not really, because I payed for normal tickets and was seated in a Screen X theatre by mistake). Her lines were awful. She ate food with her mouth open and came across very cocky for no good reason. She didn't seem to deserve to be the character she was. I hated her in this movie.","
            7/10
            "
"ferguson-6","29 June 2023","Greetings again from the darkness. ""They look like snakes."" It's such a simple line of dialogue, yet after 42 years and four previous movies, we know exactly what that means to retiring archaeology professor, Dr. Henry Jones, best known to all as the swashbuckling Indiana Jones. As the final chapter of the beloved franchise, this entry is the first one not directed by the legendary Steven Spielberg (listed here as an Executive Producer). Instead, James Mangold takes the reins, and also shares writing credit with his frequent collaborators Jez Butterworth and John Henry Butterworth, as well as ""Indiana Jones"" veteran David Koepp. Of course, George Lucas and Philip Kaufman receive credit for their original characters.Harrison Ford once again dons the familiar whip and hat, and at 80 years of age, still possesses the screen persona and magnetism that first won us over in ""Raiders of the Lost Ark"". The extended and frenetic opening sequence finds a young Indy (Ford is digitally de-aged for the sequence) at the tail end of WWII fighting Nazis over what else, a prized ancient artifact. I'll leave the specifics to those who watch the film, but just know that it's an interesting historical choice, and also one that matters little in relation to the enjoyment of the film.Working alongside Indy in the opening sequence is his pal and fellow archaeologist, Basil Shaw (talented character actor Toby Jones, who seems to be in most movies these days). However, the fun part for me is seeing Thomas Kretschmann and Mads Mikkelsen share scenes as Nazi Colonel Weber and Dr. Voller, respectively. These are two of my favorite actors and I do wish they had a couple more exchanges ... although Mikkelsen's character gets significant screen time and plays a crucial role in how the story unfolds and concludes (he is also digitally de-aged for the opening sequence).The story picks up with modern day Dr Voller and his band of misfits tracking down the relic and disturbing Dr. Jones' retirement party. It's at this point where Indy's Goddaughter Helena (Phoebe Waller-Bridge) pops up creating a three-way battle for the priceless relic. This sets off a chain of events that leads them on a global trek to desert, sea, and hallowed cities of antiquity. Helena's partner in crime is young Teddy (Ethann Isidore, sporting a Bob Griese Dolphins jersey), who is clearly the scrappiest of the bunch. Dr Voller's troupe includes Shaunetta Renee Wilson as the misguided Mason, Brad Holbrook as sleazy Klaber, and Olivier Richters as one of the largest bodyguards you've ever seen.Fans of the franchise know that the story is secondary to the characters and action, and there is no shortage of action on speeding trains, galloping horses, motorcycles, tuk tuks, vintage airplanes, and scuba dives. Antonio Banderas shows up as a boat-owning old friend of Indy, but it's the appearance of series favorites John Rhys-Davies as Sallah, and Karen Allen as Marion, that generated cheers from the audience. Ms. Waller-Bridge holds her own with screen legend Ford, and it will be interesting to see the career path she chooses after her success on TV and now film. At times this feels like a live action cartoon, and that's not meant as criticism. It's pure fun, fantasy, and adventure cloaked in nostalgia; and the film is a fitting conclusion to a world class franchise.Opens in theaters June 30, 2023.","
            8/10
            "
"benjaminskylerhill","30 June 2023","I understand some of the criticisms I've heard surrounding this final Jones outing; it's burdened by a handful of excessively bizarre ideas and an overabundance of characters.But one criticism I'll never understand is that this is somehow disrespectful toward the Indiana Jones character-that it belittles him or mocks him in some way. I could not agree less with this.What I saw today was a film made by a director who understands, respects, and loves this character. He crafted a hearty adventure story that adds depth to Jones and sends him off fondly.Indiana and Helena are characters that are both shown to be capable, intelligent, and protective and they both save each other quite often. They are introduced as closed-off but they wear each others' emotional layers down over the course of the story in subtle, natural ways that really did affect me and make me feel something.The film is shot and directed immaculately-the action is brisk yet hard and thrilling. Sure, the story's ambition requires a LOT of CGI, and it's more noticeable than it should be at times.But that didn't stop me from loving the film because the script is smart, constantly shifting power dynamics and developing character to keep you invested in the world.This is leagues better than Kingdom of the Crystal Skull, and I really hope people avoid the hate train that's been building online and give this last adventure a chance in theaters.","
            6/10
            "
"Cinema-reviewer321","7 July 2023","I love Raiders of the Lost Ark from 1981, I like the second movie Temple of Doom from 1984, but I like the first movie more, I love the movie The Last Crusade from 1989 as much as the first movie, but I like it more than the second movie, and I thought the fourth movie Kingdom of the Crystal Skull from 2008 was mediocre, with the first three movies being better. The fifth and last movie Indiana Jones and the Dial of Destiny (2023) was good and a good ending to the character, with it being better than the fourth movie, and little better than the second movie, but I still think the first and third movie is better.Despite his age, Harrison Ford is still great as Indiana Jones many years later; he is retiring from his job, and he is watching how the world changes around him since his younger years. Going on this last adventure to find something a friend of his was looking for, and to stop the villain from getting his hands on it, while also dealing with his goddaughter who wants it for her own reasons. I like how Indy is getting tired of doing what he is doing but also still has some love for adventure, he was also good in action scenes in the certain places they go to.Indy's goddaughter Helena played by Phoebe Waller-Bridge was not bad, I would have liked more done with her character by showing how she became the way she is, or how she could have learned certain things that are useful on the adventure, along with her sidekick named Teddy who was like Short Round from Temple of Doom. I liked the main villain Dr. Voller played by Mads Mikkelsen; his plan involving the Dial was interesting with his plans with the Nazis, and that he has a backstory involving an interaction with Indiana Jones; he was not much of an archaeologist, he knew and used math more to use in his plan that involves time.The opening involves a de-aged Harrison Ford that does look good, but sometimes the voice can sound older than he looked but also it would fit. The opening was great, it looked like the original movies and felt like them with a great action sequence that also sets up the main villain; all the action scenes are fun, nicely shot, suspenseful, and fast paced. Director James Mangold did a wonderful job giving this movie the same look and feel as the original movies directed by Steven Spielberg. The locations or caves they go through look cool, and interesting on how they tie to major points in history.The third act will divide some people, but because of other weird things that happen in the earlier movies, it was not that hard to believe; leading to an ending that is sweet and a nice end for the character. Indiana Jones and the Dial of Destiny (2023) was a nice ending that had callbacks to the earlier movies, great action, a fantastic musical score from John Williams, and Harrison Ford giving his all in his last movie as this famous character. This movie is not flawless, but I had fun with it, and I think fans will too.","
            3/10
            "
