"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"cyguration","8 April 2021","...of an Academy Award.A lot of people felt Serkis should have won for his portrayal of Gollum, but he puts that performance to shame with his turn as the not-so-poker faced leader of the apes, Caesar.It's the understated emotion that really bubbles to the surface in Serkis' depiction of the reluctant but always resolute Caesar.It's not easy to give a performance through a CGI ape and convey to the audience through vocal intonations and an extremely limited speaking script the hurt, the ambition, the hate, and the pain that Caesar feels, yet paired with an incredibly talented special effects team, Serkis manages to pull it off.I suppose I can't give all the credit to them, because the script for this film is way above par. It works on so many different levels, and it's really quite something because I just got done watching Godzilla vs Kong, and oh boy is there such a stark difference in screenplay quality between the two films.All while watching War For The Planet of the Apes I was thinking to myself ""Why couldn't the Transformers get this sort of on-screen characterization and treatment?"" The Hollywood excuse is always ""No one wants to see robots fighting for two hours!"" and yet that's always the best and only parts worth watching when it comes to the Transformer films.Here, however, director Matt Reeves flipped the script (I suppose you could say literally) by putting the focus on the CGI apes instead of the humans. The entire story is about Caesar -- everyone else plays second fiddle to Caesar.It basically proves that you can make a quality, character-driven film without tacking on some ridiculous human sub-plots just to pad out the time or tie together action scenes.In this particular case War For The Planet Of The Apes is probably misnomer given that this is not an action film. Yes, there are action scenes, but this is all character drama, with a few action set pieces to payoff the trilogy.I thought the original Dawn of the Planet Of The Apes was an okay film, nothing too memorable. I didn't care all that much for Rise of the Planet of the Apes. However, I have to say that I adore War For The Planet Of The Apes.The difference boils down to bringing the emotion out of the leads (who are all CGI apes), giving the main antagonist a complex and multi-dimensional approach to his self-proclaimed ""purpose"" and a few twists you likely won't see coming.I can understand why a lot of people may not like the film because it's methodically filmed and paced. This isn't The Fast & The Furious, and if you go in expecting more ""War"" rather than ""Planet of the Apes"" then I suppose you'll be sorely disappointed.However, if you're looking for a movie that's actually really well directed, better written than it has any reason to be, and a lot more emotionally driven than most other Oscar-bait dramas, then you'll definitely enjoy War For The Planet Of The Apes.And it still irks me that Serkis wasn't even nominated for an Oscar for his performance. I didn't bother checking to see who won best actor for 2017, but I'm finding it hard to believe anyone turned in a more layered, heartfelt, and multi-dimensional performance than Serkis did with Caesar.","
            8/10
            "
"michaelRokeefe","9 January 2018","This is the third chapter of the acclaimed Planet of the Apes franchise. Matt Reeves directs and this episode that is nice on the eyes to watch. Enough activity to keep your interest and story line that moves along at a good pace for a two hour twenty minute movie.Caesar (Andy Serkis) and his apes are goaded into a deadly conflict with an army of humans led by a devious, head-strong Colonel (Woody Harrelson). Caesar tangles with his inner, dark instincts and comes to grips with his own mythical stature avenging his own kind. He comes face to face with the Colonel as bitter challengers in a battle that will determine the fate of both species. Ape versus Man and the future of the planet.Really impressive is Steve Zahn playing Bad Ape. Also in the cast are: Amiah Miller, Judy Greer, Aleks Paunovic, Karin Konoval, Toby Kebbell and Michael Adamthwaite.","
            9/10
            "
"urthpainter","25 July 2017","Seriously needs to reevaluate the criteria by which they review films. Why? Because giving this film 1/10 says, ""I am ignorant of quality film making."" Descriptions like slow and boring just don't cut it! Opinions like this are an act of ultimate laziness - the inability to mentally invest in the passive experience of a film. An inability to invest in a well made film that has something to say no less.Everyone has the right to an opinion - but when a person abandons merit before their eyes, and quality film making is overlooked by choice? That is simply, unfortunate. I can continue to admonish those without taste, but what good is that?War for the Planet of the Apes isn't a good movie - it's a Great movie!!! I thought part one was above average, part two was surprisingly good - but this movie? Its a borderline classic!In a nutshell, War for the Planet of the Apes is a struggle for survival between Caesar's group of sentient apes (gorillas, orangutans), and a derelict group of soldiers led by a broken/crazed leader. This fight begins as open warfare but moves to very close quarter survival between captors and prisoners. There is a lot of heavy, dramatic sequences - and I would say this movie compromises entertainment for meaningful content. Normally I am very critical of this type of film, but not this time! Everything serves the characters and story - and in doing so becomes a project that far exceeds the sum of its parts. Yes this movie has death, suffering and plight - and it also has heroism, empathy and displays the strength of unity.The effects are astonishing - and immediately allow the viewer to slip into the world in a believable way. It is possible that this movie is 5 years ahead of its time. It may be a while before another film achieves this level of drama, all while being a heavily effect driven experience.Apparently this movie requires an active viewer. A person actually has to show up, absorb the content of a film that will not pander to selfish, ""give me action"" needs. More science fiction should be this brave and literate. I love movies that ask interesting questions and can bring you on an emotional adventure. It is surprising to me that the third film in this trilogy would improve so much on the previous two films - good movies in their own right.Way more I could talk up: great soundtrack! The music both blends in and adds to the drama/action - the best kind of soundtracking - beautiful camera work in interesting locations, and several unique characters, many of whom never utter a word of dialog! This movie is full of great character building, and all the big moments really land where they should.For me, best movie of the 2017 summer - maybe the year!All the 1* reviews at IMDb are a mystery... audience approval for this movie isn't this low. Very odd, anyways for those who care, critics got this one right - 9/10.","
            9/10
            "
"jacobjohntaylor1","12 June 2019","This a great movie. Down of the planet of the apes is better. But still this movie has great acting. It also has a great story line. 7.5 is underrating this movie I give it 9 out of 10.","
            9/10
            "
"Uncle-Feggster","15 June 2018","Sometimes, when I read reviews about movies on IMDb, I see patterns in the writing. Similar text, similar structuring and similar indignant shouting. Read enough of them and you see that quite often there is an underlying reason why the reviews are marking a film so low. Be it political or religious. Very rarely is it actually about the quality of the film. More often it is about a personal issue that the reviewer has - and so he vents his anger in the only way that's he knows how - a screaming one star rating and a list of reasons why the film is the worst he has ever seen. Makes you wonder what kind of a strange person would do that.However, if you read past all the silly 1 star ratings you often get to the truth. And the truth as far as this film is concerned is that it is a cracker. It draws you in like none of the other ape movies - it's pacing is superb, the visual effect stunning. I would suggest that you ignore the ranting 1 star reviews and take them for what's they are - a few individuals with multiple accounts and strange views on the world.","
            8/10
            "
"IamNiyatiJoshi","27 May 2019","War (as arguably miss-titled as it is) is once again on top of its game, with a more intense story, the effects looking better than ever, some genuine surprises and shocking moments, and the A-game acting. This trilogy has truly ended on a high note","
            9/10
            "
"ma-cortes","15 November 2019","This War of the Planet of Apes is an intense and exciting film with great visual effects by means of Motion Capture technology . The picture delivers enough energy and turns out to be an impressive flick full of fighting, action , battles and suspense . An acceptable Ape movie with huge production design in which the performers are very fine , and special mention for Andy Serkis who provides the sturdy central pivot the tale surely needs . There concerns Caesar (masterfullly incarnated by Andy Serkis, Gollum alter-ego) , a chimpanzee who gained human-like intelligence and emotions from an experimental drug that rose to a super-intelligent chimp who leads an ape upheaval . As Caesar and his apes : gorilla , chimpanzee and orangutan , are forced into a deadly conflict with an army of humans led by a ruthless Colonel . Along the way the apes suffer unimaginable losses and Caesar (Andy Serkis), a Chimpanzee raised like a child by the drug's creator (first outing with Will Rodman: James Franco) . Here Caesar wrestles with his darker instincts and starts his own mythic quest to avenge his kind that is being submitted in slavery and apartheid . Later on , Caesar is locked and seeking justice for his fellow primates , as they carry out a riot in which simians turn the tables . As simians , Chimpanzees , gorillas uprising violently every human in sight . As the journey finally brings them face to face, Caesar and the Colonel (Woody Harrelson) are pitted against each other in an impressive battle that will determine the fate of both their species and the future of the planet.This awesome film is a brilliant and intelligent sequel that contains fights , thrills , frenetic action , go riding , violence , breathtaking scenes and a strong denounce about animal mistreat . Dramatic as well as spectacular film in which simians undergo a rebellion against humans and winding up at a climatic final . Recent sequel in the series based on Pierre Boulle novel initiated by the mythical film ¨Planet of Apes¨ (1968) by Franklyn J. Schaffner that at time of its release regarded as the most extraordinary Scifi in years . It deals with a Chimpanzee hero called Caesar well played by Andy Serkis , this is the third film in which Andy Serkis plays an ape, having previously portrayed 2005's version of King Kong and he was also the motion capture actor for Gollum in Lord of the Rings . Highlights of the movie are the spectacular ending scenes when happens a fierce confrontation between a human army and the simians commanded by Caesar . As Caesar leads an animal revolt against his human captors and mankind in which humans battle the apes led by the intelligent ape . The flick plenty of metaphysical significance with thoughtful reflexion about vengeance , apartheid , upon origin of human being , racism , and mistreating ; though also packs action , adventures , intrigue and entertainment . Being mostly a decent follow-up of the former stories , with big moments of energy remaining throughout and it results to be , particularly , a breathtaking Sci-Fi movie full of frantic action , battles, suspense and top-notch FX by Oscarized team who made Avatar and Lord of the Rins . The performers , particularly Andy Serks and Woody Harrelson are pretty good , the characters are well drawn and in spite of excessive computer generator frames all of them are still oddly convincing . Although several elements of the screenplay strain credibility to the limit the story turns out to be pretty interesting and amusing . This film is considered to be the third live action film to have its main hero as a thoughtful, feeling , self aware animal . Andy Serkis's distinctive features prove to be recognisable even under ¨Motion Capture¨ FX images . One of the first feature films to use motion-capture in a so-called 'on location' setting , formerly , motion-capture was limited to special studio set up with special ¨motion-capture¨ cameras in very clearly defined surroundings . Similar the previous films, this is an Apes movie to have CGI apes and with arm extensions . Remaining cast formed by Gorilla , Chimpanzees , Orangutans and other apes are nice , in spite of overlong scenes in Motion Capture they are still nicely and compellingly made . Writing credits by Rick Jaffa & Amanda Silver , along with Mark Bomback and Matt Reeves himself , their screenplay is just clever and including interesting issues about human being and animals . One of the important attributes of this work, is the magnificent and luminous cinematography by Michael Seresin . Epic as well as emotive musical score by Michael Giacchino , it's full of fury and sound . Motion picture was well directed by Matt Reeves (Dawn of the Planet of the Apes , Let me in , Cloverfield)
Other adaptations based on the characters created by Pierre Boulle are as follows : The original and the best is ¨Planet of Apes¨ by Franklyn J. Schaffner with Charlton Heston , Roddy MacDowall, Kim Hunter , followed by ""Beneath the Planet of the Apes"" (1970) with James Franciscus , Linda Harrison , Maurice Evans ; it's followed by three inferior sequels : Escape from the planet of apes , Conquest for battle of Apes and Battle for Planet of Apes. A reboot Planet of Apes 2011 by Tim Burton . And new remakes : Rise of the planet of Apes 2011, and Dawn of the Planet of Apes (2014) .","
            7/10
            "
"namashi_1","8 October 2017","The third installment in the Planet of the Apes reboot series, 'War for the Planet of the Apes' is a terrific film, that is grim & thought-provoking, and bravely pushes the Blockbuster Genre, by offering more soul than gimmicks. With a Sterling, Oscar-worthy Performance by Andy Serkis as Caesar, the leader of the apes, to a Screenplay that is dark & powerful & Deft Direction, this recent box-office & critical smash is among the year's best films! 'War for the Planet of the Apes' Synopsis: After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.'War for the Planet of the Apes' is a tale on love, hate, revenge & survival. And in a world where Presidents behave like dictators & discriminate the minorities, this Apes versus Humans spell-binder comes close to the current state of times we live in & questions hate & violence with thundering ferocity. 'War for the Planet of the Apes' is brave enough to remain a grim story on a leader broken & consumed in hate, ready to protect his misunderstood tribe by a sadist & ruthless colonel (Woody Harrelson, in an electrifying performance). Its disturbing & powerful story on Caesar's fight, with a mad-load of violence & thought-provoking confrontations, that are SURE to give your goose-pimples. Its power-packed stuff.Mark Bomback & Matt Reeves's Screenplay is excellent. The Writing is super-strong & makes for a solid third installment. Reeves's Direction is intense to the core. This is Reeves at his finest, as a writer & director. Michael Seresin's Cinematography captures the carnage, with astonishing results. William Hoy & Stan Salfas's Editing is top-notch. Art & Costume Design are fantastic. Michael Giacchino's Score is enchanting, as always. Performance-Wise: Andy Serkis needs to be awarded. His return as Caesar in a yet another motion-capture performance, defines emotion. Serkis is simply superb, enacting the bruised & broken hero with gut-wrenching honesty. Has the Academy been sleeping? I mean, how can one not include Serkis in the finest performances of the year? Give him his due, Nominate Serkis for his impeccable work in 'War for the Planet of the Apes', it would only prove to be a rich moment in your history. Second in command is Woody Harrelson, who puts the screen on fire. In one of his scariest roles, the Thespian portrays a villain that's hard to forget. The TREMENDOUS Steve Zahn is extraordinary & adds the much needed relief in the intense proceedings. Karin Konoval, also, is marvelous. Rest lend incredible support.On the whole, 'War for the Planet of the Apes' is A Mighty Winner! Don't Miss It.","
            9/10
            "
"BenjaminPopkin","30 March 2022","Not my favorite of the trilogy, but definitely an amazing film.That opening scene was even better than the last one. The CGI is the best of the trilogy in this installment for sure. If the last one didn't get Andy Serkis a nomination for an Oscar, then this one certainly should have. Some of his best work ever IMO. They didn't win an Oscar for visual effects either which I honestly find bizarre. This film also has the best music of the trilogy by far.My main issue with the film is that it starts to feel lengthy towards the end and I think they could have cut some things for sure. Also the girl was kind of pointless, she didn't really do anything or add that much, other than showing an emotional side to the apes. But, other than that I had no other real problems. I did get some Logan vibes.I liked the revenge plot and Caesar battling his inner demons. I liked how Caesar offers peace again to humans and it doesn't work out just like the previous time. Could have used more Woody Harrelson. He stole his scenes though. I also totally agreed with his perspective because if it was real we would all be on his side because we are the last of humanity so I could see how he feels the need to wipe out the apes because the law of nature says they will replace the humans. You root for the apes because that's what we're watching but if it was real we would all be team Woody.Overall, War for the Planet of the Apes is an amazing film. The cinematography, music, acting, CGI, and characters are all amazing. Caesar, Maurice, Luca and Rocket are such amazing characters who use such little actual dialogue, yet they can still carry the film so well. Also Bad Ape was really funny and I like that they finally decided to add some form of comedy in the trilogy. I also liked the concept of the zoo ape. The ending of this film is also perfect and definitely a tear jerker. This trilogy was just so well done.The Planet of the Apes trilogy is one of my favorite trilogy's of all time for sure. The character development, storyline, all the visual effects, acting, and emotions that it puts you through is just so amazing. Lengthy but worth it in the long run. If you haven't seen any of these films I suggest you watch them, they are all so great. Now, I'm going to watch the originals.I do think War is the same as Dawn in terms of quality and filmmaking, but overall Dawn is still my favorite of the trilogy. Also, War is a better film than Rise, but I think out of the trilogy and rewatchability that I may like Rise more than War.","
            9/10
            "
"conroyart-46646","5 April 2020","Don't normally review. Some like a film, some do not. But when I see this film given 1* I have to say something. Ignore such people. They enjoy the power of criticising the efforts of others while having, I imagine, little talent of their own. The film is a masterpiece. A war film, comedy, tragedy and biblical. What more can one ask for? Enjoy!","
            10/10
            "
