"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Sleepin_Dragon","7 August 2021","It's a shame that I didn't see this at the cinema, I can only imagine what a treat for the senses this was on the big screen. A visual masterpiece, and an intoxicating story of belief and friendship.You must give so much credit to the team that produced this, not a book I would have thought easy to adapt, as it is so vague, the realisation is of course breathtaking, I absolutely loved it.I've read comments about those that wanted action and dramatic scenes, this film isn't about the destination, it's about the journey.Breathtaking, 9/10.","
            9/10
            "
"JohnDeSando","21 November 2012","''I had to tame him,'' (Pi) realizes. ''It was not a question of him or me, but of him and me. We were, literally and figuratively, in the same boat."" From Life of Pi by Yann Martel.You will see no more imaginative film this year than Life of Pi, whose conceit of a young Indian boy stranded with a Bengal Tiger in a lifeboat amid the Pacific Ocean is fantastical yet real in its metaphoric implications. While the framing device of a story told to a stranger uses the old flashback, the lonely lifeboat is as new as any story told in the last century.The film begs interpretation from the multiplicity of religions to the place of mankind in a hostile, Darwinian world. Ultimately the benign brotherhood of beasts and humans is affirmed not so much by lofty philosophy but by the necessity of man and beast working together to survive.The digital rendering of animals, especially the Bengal Tiger, is beautiful to behold. The opening scene in Pi's family zoo could be right out of Terence Malick's visionary camera, a montage of nature gorgeous in its simplicity. The several formalistic shots of the boat at night are worthy of the best lighting in the best aquariums in the world. Together with the impressive use of 3D, director Ang Lee has visually taken us from the opulence of Crouching Tiger and the minimalism of Brokeback Mountain into a fusion world of fancy and reality. The images are stunning.In the end, Lee is interested in the individual's place in the universe as he struggles to harness nature and yet live in harmony with these elements. The conflict with the gross cook aboard the Japanese cargo ship taking Pi's family and animals to Canada is emblematic of the challenges facing the gifted with the groundlings. Pi's relationship with tiger ""Richard Parker"" represents all mankind's struggle to live in harmony with the forces it cannot control.""Believing in everything is the same as believing in nothing,"" says Pi's father because Pi samples religions from Hinduism and Buddhism to Catholicism and Judaism and wants them all. Although it is not given to us to have them all, Pi's piety practically makes us believers in the universal brotherhood.The Life of Pi is everyone's life; the film is one of the best of the year and, even remembering the greatness of The Old Man and the Sea, Moby Dick, and Billy Budd, the best you will ever see about a boy, a tiger, and a boat.","
            9/10
            "
"Leofwine_draca","11 May 2014","When I heard that the film adaptation of LIFE OF PI was being released, I made sure to go and read the novel beforehand so I could compare it to the movie. I'm not a huge fan of Ang Lee and his overrated CROUCHING TIGER, HIDDEN DRAGON, so I wasn't quite sure what to expect with this. But I needn't have worried; this is a great movie, a film that fully explores the splendour of cinema and on-screen storytelling, and a film that's better than the book.The early and, quite frankly, boring parts of the novel are summarised well so that the storytelling is always on the move. The focus is on the survival narrative, which is as it should be, and the relationship between Pi and Richard Parker is brought to vivid and moving life. Sure, there are the occasional mis-steps along the way, like an ill-advised and tacked-on romance, but for the most part they get it right. The CGI is wondrous, especially the animals and an eye-popping shipwreck, and the story is moving, tender in places and full of heart. I'm not ashamed to say I had tears in my eyes in parts, and it's all down to Richard Parker, who must go down as one of the great animal characters in cinema. A great example of filming the unfilmable.","
            9/10
            "
"Davor_Blazevic_1959","3 January 2013","With his latest movie, ""Life of Pi"", Ang Lee further establishes himself as one of the greatest contemporary movie directors. Starting from his Taiwanese beginnings, and his highly enjoyable, family-harmonizing ""Father Knows Best"" trilogy (1992-1994), through his Academy Award winning works on gracefully choreographed, highly spiritualized Far East martial arts tour de force ""Crouching Tiger, Hidden Dragon"" (2000, best foreign-language film) and on an uncommon yet nostalgic portrayal of the Old West in ""Brokeback Mountain"" (2005, best director), to his other titles like ""Sense and Sensibility"" (1995), ""The Ice Storm"" (1997), and ""Lust, Caution"" (2007), quality and Kubrick-like versatility shown in his movies offer continuous attraction for wide audience of his admirers.Lee's latest and, so far, easily, greatest movie, ""Life of Pi"" is based on a screenplay adapted from the acclaimed fictional adventure novel written by Canadian author Yann Martel.Throughout his childhood, due to matching pronunciation of French word ""piscine"" (pool, swimming pool) and English word ""pissing"", Piscine Molitor Patel, named that way after later abandoned Parisian swimming pool, so predictably suffers from being nicknamed ""Pissing Patel"". In order to avoid it, once in high school he finally shortens his name to Pi Patel... Nowadays middle-aged Pi tells the story of his life to a visiting writer, apparently a book author Yan Martel's alter ego, who is seeking for the literal inspiration. Retrospectively, Pi divides his childhood and adolescence into three segments. In the first segment he gives shorter account of his life until the age of 16, describing his interaction with his family and schoolmates, in particular his relationship with his father and a girlfriend, concentrating on his exploits of God and spirituality, meandering between multitude of religious practices while in the last one he briefs about his testimonial given to officials from the Japanese Ministry of Transport, investigating the reasons why the ship his family was relocating on from India to Canada sank. Most detailed, and therefore the longest, is recollection of his 227 days in a lifeboat, an extraordinary ordeal he went through after the ship has capsized and everybody else, crew and passengers, died Well, everybody human, but not everybody living. Namely, a number of terrestrial animals from their discontinued family zoo, offered for sale and brought along with other family belongings, have survived, too. But, not for long, because, while confined in the most limited space as they were, surrounded by vastness of the ocean, the law of the ""survival of the fittest"" prevails, takes its tall, and pretty soon Pi finds himself in a company of a single one topping the food-chain, a Bengal tiger curiously named Richard Parker. Not to reveal the story further, it is with greatest pleasure to inform that cinematic excellence has been achieved in several categories: in an engaging tale—whether allegory or depiction of realistic, believable events, filled with protagonist's rarely matched curiosity, imagination and his often reasonably unanswered doubts, encouraging the same in viewers—of an uncommon character, indeed, brought to on-screen life by outstanding performances from two contributing leads, remarkably presented via ubiquitous, yet inconspicuous animation, exceptional, CGI aided visuals and superb usage of 3D photography, all along complemented with an uplifting score. All these assets work seamlessly together in unfolding an intense relationship between Pi and Richard Parker, complex yet basic, difficult yet simple, initially charged with Pi's dreadful fear, swiftly shifting to respectful care, instantly boosting his never overbearing confidence and relentlessly improving his survival skills. Wholesome artistic experience reaches and maintains its pinnacle particularly in clever tactics and constructive survival techniques 16-year old Pi uses—amply benefiting from his instructive lifestyle of a zoo owner's attentive son, certainly well acquainted with animal psychology—to suppress the fear and convincingly impose himself as an equal to the one of the most elaborate ""killing machines"" among mammals, desperately striving for his own survival, nevertheless, generously, for survival of his seemingly sufficiently tamed companion, but still, initially and ultimately, magnificent adversary, Richard Parker, as well.""Life of Pi"" is, certainly, one of the most impressive movies of 2012, year that has just come to a close.","
            10/10
            "
"damh_frikinlater","21 November 2012","The movie narrates an incredible story using the most beautiful special effects and great actors.It is more that a survival story and it is not about friendship. This story is about faith. Director Ang Lee use all the tools he have to make this movie about a solitary young man not a boring one. It is narrated by both, young Pi and the Adult Pi, it uses music all the time so there is not space for uncomfortable silents and the rhythm of the scenes is fast. The result a very entertained film.The most important thing of this film is it character. It is obvious because we are seeing for almost 2 hours just one character. So it is not only important to have a great character that appeals to the audience feelings, but to have an actor that portray this person the right way. Suraj Sharma was brilliant as Pi. He can make happy scenes as equal as sad, desperate, hopelessness, exhaustion and anger ones. Very few movies allow an actor represent so many emotions.But if Pi is a good character, Richard Parker can only be describe as unique. The tiger as personality of it's own. Not many films can make an animal with so many human features and yet never stop being a wild animal. This tiger is computed animated but the audience will barely notice, because the way it walks, eats, its factions, the eyes. It doesn't matter if it is computer animation, Richard Parker is alive and is his own character just as important as Pi is.If you think that ""Rise of the Planet of the Apes"" have good animal effects, you have to see how this people make a zebra, a hyena and a orangutan. All this, combine with a photography created by the same guy that make ""Tron: Legacy"" looks so cool and ""The Curious Case of Benjamin Button"" so beautiful, Claudio Miranda, makes it an incredible experience to see.This movie is definitely an Oscar runner for Special Effects, Cinematography, Director and Movie of the year.","
            10/10
            "
"StevePulaski","22 November 2012","Life of Pi is one of the most marvelous theater experiences I've had all year. Its Oscar for art direction and cinematography should already be locked in. It's a film of incorruptible beauty and deeply satisfying drama which squeezes so much power and emotion out of its audience that they leave feeling riveted at the same time drained. You can bet the film's main character feels the exact same way.Our main character is an adult named Piscine Molitor, who goes by the name ""Pi Patel,"" and we meet him as an adult (played by Irrfan Khan) who begins telling his long life-story to a writer planning to adapt it (Rafe Spall). It's a story that tested him as a person in every possible way, and it all goes back to when his parents made the decision to move from India to Canada, and because Pi's father was a zookeeper, take many animals such as orangutans, zebras, goats, and tigers with them on an enormous ship across the Pacific Ocean. Before this move, Pi was an optimistic soul, who ventured out as a young boy beyond his comfort zone in his Hindu religion to seek out other walks of faith, specifically Christianity and Islam, which he began following all at once.During the move, a wild, violent storm hits the ocean, flooding the ship and sending Pi, a zebra with a broken leg, a hyena, an orangutan, and a tiger named ""Richard Parker"" on a lifeboat, leaving behind the several other animals and Pi's entirely family. This whole sequence, which lasts around five minutes, feels like the entire movie The Perfect Storm shortened from its original two-hour length, only it emphasizes the emotional elements. This is one of the saddest scenes of the year, as we see a teenage Pi (now played by Suraj Sharma) desperately hold onto the lifeboat for dear-life, while being washed away from his mother, father, and siblings and there is absolutely nothing he can do about it. Between you and I, reader, this is one of the most emotionally upsetting scenes (this and the ending of the film) I've ever sat through in a theater.Now, Pi is stranded in the middle of the Pacific, with an open sky, four different animals, until they are picked off with only the tiger remaining, and his own will to live. The remainder of the film forgoes the back-and-forth narrative between adult Pi telling the story to the writer, but remains focused on his own recollection of events on that lifeboat and the acts of bravery he committed to keep him and the tiger alive. While Pi and Richard Parker are sharing the boat, that does not mean they get along. Writer David Magee makes no mistake in illustrating that while they are stranded together, Pi is a human boy and Richard Parker is a Bengal tiger. The beauty of this picture is that it never mistakes that the only common traits between these two souls is that they are stranded together and both are mammals.Life of Pi's visuals are astounding. Long shots that hold on the vast emptiness of the Pacific are invigorating because of their wide range of beauty and clarity, sequences of peril and uncertainty are captured through an equally clear, vivid lens, making them all the more real and enthralling, and atmospherically, the picture shows the dangers and the loneliness of the ocean better than any film I have yet to see.Thematically, the picture focuses on predominately on the idea of survival and spirituality, which gratefully helps Pi keep hope and optimism during these gruelingly unforgiving days. One of the most intense and poignant scenes comes when Pi is faced with the task of killing a large fish. He is starving, and becoming skinnier by the day, so he fiercely grabs a fish out of the water and begins hacking at it with a small axe. When the fish is bloody and long dead, he begins to sob tears of joy and sadness; joy because he finally has a decent portion of food, yet sadness in the idea that he has killed a living creature and is about to abandon his vegetarian vow. It's a scene that, once more, clouded my eyes with tears, just like Pi's, of joy and sadness. This is a picture of sheer power and beauty. A film that clearly tests its lead actor, Sharma, who is inhabiting his first main role, and a film that will hopefully go on to live with a reputation of one of cinema's supreme achievements. It must be said that in Ang Lee's twenty year film career that he has tackled almost every genre in the medium and done so with an extraordinary amount of confidence. His directorial efforts too have not been minor additions to the genre, but true game-changers if anything. Crouching Tiger, Hidden Dragon was a martial arts film filled with depth and delight. Hulk was a superhero movie that added so much weight to its characters and relationships, you'd think Christopher Nolan's modern-day Dark Knight franchise was taking notes from it. And Brokeback Mountain was, for the most part, a lively portrayal of two men who've kept their orientation silent for so long that they begin to embrace it by meeting each other out of the blue. Life of Pi offers more of the same grandiose ideas from the brilliant visionaire and its shocking smoothness in terms of filming, placement, and writing is beyond fabulous and wildly consuming because of its clarity. This is one of the best films of the year, and on-par with the depth and cinematography in Samsara, making this year one of the most beautiful.","
            9/10
            "
"cnitinb","22 November 2012","Ang lee's life of pi is an adaptation of a 'Man booker prize winner' novel by the same name, written by Yann Martel. It's a story set in the late seventies of an Indian teenager (Pi Patel) who is stranded on a life boat in the pacific. What distinguishes this tale of survival from the rest is that the author dishes out a delicious slice of creativity in giving the castaway, a tiger for a companion. Yes, like the posters and trailers have you believe, there is a boat on which a man and a tiger have to live! This makes 'life of pi' not only a story of human struggle against nature but also a profound tale that questions 'what separates man from beast?'. More interestingly, 'when does man become a beast'? But worry not, Ang Lee's movie does not force you think on these lines , instead it's a film that lets you enjoy it on so many levels. If you are just looking for a beautiful 3D movie to feast your eyes , Life of pi can be it. If you are in a mood for a thrilling adventure epic on weekend, this is the right ticket. If indeed, you want to experience something thoughtful, Life of pi never forces you on a particular thought, instead it whispers ever so slightly to think about matters of human disposition and finding comfort in convention while caressing your senses with fabulous visuals and background score. Suraj Sharma debuts as pi with utter sincerity while Irfan Khan(as adult pi) and Tabu(as mother) do justice to their parts. The rest of the supporting cast blend in perfectly too. Ang lee helms the film with difficult source material with absolute grace and expertise. However there are two true heroes that make Life of Pi work. Firstly the studio and creative director behind the magnificent CGI. The Bengal tiger is perhaps the best animated animal ever created! The angry green eyes, richly textured orange –white striped skin and every hair on its fur look rich and full of life in 3D.And then when your hear the thunderous roar for the first time, you will realize this is as real as it can get! The rest of the animals (a Zebra, an orangutan) look great too. The lovely blue ocean and its resident creatures are the jewel in the crown. The other hero is the writer David Magee(screenplay) who adapts the novel with near perfection. One gripe the fans of the novel might have is the lack of all the gore descriptions and a particular chapter that deals with the surviving 'French cook'. The addition of these might have pleased the audience who sought for the philosophical undertones from the story but the film would have lost out on the large PG-13 crowd (a fair deal considering the enormous budget). Life of Pi, is a rare masterpiece that stands as a prototype not only for a perfect book adaptation and a 3D movie( sorry avatar, you have just been replaced), but also for a movie based on intricacies of human nature . Now that is simply an impressive triumph of film-making!","
            9/10
            "
"Michael_Elliott","26 November 2012","Life of Pi (2012) **** (out of 4) Ang Lee's incredible tale of Pi Patel (Suraj Sharma), a teenage Indian boy who survives a ship sinking that kills everyone on board except for himself and a tiger. Soon the two are on board a lifeboat not knowing what their future holds. I had never heard of the novel that this film is based on and I had absolutely no idea what the film was about until about five months prior I saw a promotional piece while waiting to watch another movie. I actually went back to work joking about the picture because I couldn't believe anyone would try and make a movie about a boy, a tiger and a lifeboat but the joke is on me because Lee has created one of the more memorable, magical and uplifting films of the year. I was really shocked to see how tremendous the picture was but what makes it so special would have me giving away countless spoilers, which is something I'm certainly not going to do. I think it would be best for viewers to go into the picture knowing as little as possible but I can say that Lee has created one of the most beautiful pictures you're likely to see. The beautiful images are just so remarkable to look at that it's impossible not to get caught up in the scenery. Be it the early stuff in India or the breathtaking moments at sea, everything in this picture just lights up the screen. I'm really not a fan of CGI unless it's used properly. Too many times I think it's just used to be lazy and save money but that's not the case here as Lee perfectly mixes in the CGI with the live action stuff. The two coming together are practically flawless and that certainly helps bring one closer to the story and characters. Sharma does a terrific job and especially when you consider he'd never acted before and was basically having to carry the entire film. I was a little mixed on the 3D effects. While some where brilliant, for the most part I think the film would be viewed just fine in 2D as it would give one better colors. Still, no matter which version you see, the heart of the picture is in its soul, its character and the lessons he learns while being stuck out at sea for over two hundred days. LIFE OF PI is a really remarkable film that has so much going for it that it's clearly one of the year's best.","
            8/10
            "
"planktonrules","11 April 2013","By the time I got to see this film, the Oscars were long past and there already were a ton of reviews for ""Life of Pi"". On top of that, I have noticed that for big pictures which most everyone likes, I rarely have much to say. After all, I agree with the majority--""Life of Pi"" is a very good film. So, my review will be brief.THE reason to watch this film is pretty simple: You cannot say that the movie reminds you of anything you've ever seen before or since. Sure, you could try comparing ""Life of Pi"" to ""Avatar""--but that is only because they both used gobs of CGI to create fantastic stories. But the story itself, is so original. In addition, the acting, direction and artistry of the movie is tops. While I would agree with the Oscar folks that ""Argo"" was a better film, it wasn't by much. Well worth your time.","
            9/10
            "
"noah_eye","13 November 2012","I was lucky enough to see Pi in full 3D Imax at a pre-viewing in San Diego last night, and as a huge fan of the book, I was intensely satisfied.Believe it or not, I was more impressed with the the casting choices and performances of the players than by the effects. Granted, the movie was very beautiful, but in the end, Life Of Pi was more character driven than anything. Suraj Sharma as the young Pi was charming, funny, and incredibly engaging, while Irrfan Khan as the older Pi was fantastically genuine and warm. Adil Hussain as Pi's father was also a joy to watch. The characters are so rich and full of life that you really can't help but fall in love with them. I would also like to add, as someone who spends time with tigers on a daily basis, the animators did a wonderful and accurate job of bringing Richard Parker to life and making him the active and vital character that is so incredibly essential to the success of this story. I would recommend seeing Pi in 3D, but I don't think that's it's essential to your viewing enjoyment. The 3D just takes a beautiful film and makes it a little bit nicer. Also, if you've read the book and are concerned that the story you loved may have been compromised in anyway, worry no longer. This is easily, one of the best book to film adaptations I have ever seen.Happy viewing folks. I hope you enjoy this film as much as I did. I'll be seeing it again in theaters very soon.","
            10/10
            "
